essay_id,n_annotated,n_effective,n_adequate,n_ineffective,n_unannotated,construct_score,pct_effective
2021000047,12.0,1.0,11.0,0.0,1.0,1.0833333333333333,0.08333333333333333
2021000071,9.0,0.0,8.0,1.0,4.0,0.8888888888888888,0.0
2021000080,6.0,1.0,5.0,0.0,3.0,1.1666666666666667,0.16666666666666666
2021000101,10.0,2.0,8.0,0.0,5.0,1.2,0.2
2021000110,6.0,0.0,5.0,1.0,1.0,0.8333333333333334,0.0
2021000136,7.0,0.0,7.0,0.0,3.0,1.0,0.0
2021000152,12.0,2.0,10.0,0.0,1.0,1.1666666666666667,0.16666666666666666
2021000187,4.0,0.0,4.0,0.0,1.0,1.0,0.0
2021000241,12.0,0.0,12.0,0.0,1.0,1.0,0.0
2021000268,6.0,0.0,6.0,0.0,1.0,1.0,0.0
2021000276,8.0,0.0,8.0,0.0,1.0,1.0,0.0
2021000292,13.0,0.0,12.0,1.0,0.0,0.9230769230769231,0.0
2021000314,9.0,0.0,9.0,0.0,3.0,1.0,0.0
2021000349,8.0,0.0,8.0,0.0,1.0,1.0,0.0
2021000365,9.0,1.0,8.0,0.0,2.0,1.1111111111111112,0.1111111111111111
2021000390,12.0,0.0,11.0,1.0,1.0,0.9166666666666666,0.0
2021000420,6.0,0.0,6.0,0.0,2.0,1.0,0.0
2021000446,9.0,0.0,9.0,0.0,1.0,1.0,0.0
2021000462,6.0,0.0,4.0,2.0,2.0,0.6666666666666666,0.0
2021000471,9.0,3.0,6.0,0.0,2.0,1.3333333333333333,0.3333333333333333
2021000616,9.0,0.0,7.0,2.0,6.0,0.7777777777777778,0.0
2021000624,4.0,0.0,4.0,0.0,2.0,1.0,0.0
2021000632,6.0,0.0,6.0,0.0,1.0,1.0,0.0
2021000675,12.0,0.0,12.0,0.0,2.0,1.0,0.0
2021000683,4.0,0.0,4.0,0.0,3.0,1.0,0.0
2021000730,11.0,0.0,10.0,1.0,3.0,0.9090909090909091,0.0
2021000748,9.0,1.0,6.0,2.0,4.0,0.8888888888888888,0.1111111111111111
2021000756,5.0,0.0,5.0,0.0,5.0,1.0,0.0
2021000764,9.0,0.0,9.0,0.0,1.0,1.0,0.0
2021000799,5.0,0.0,5.0,0.0,1.0,1.0,0.0
2021000802,5.0,0.0,5.0,0.0,1.0,1.0,0.0
2021000845,8.0,0.0,8.0,0.0,2.0,1.0,0.0
2021000870,6.0,0.0,6.0,0.0,1.0,1.0,0.0
2021000918,12.0,4.0,8.0,0.0,1.0,1.3333333333333333,0.3333333333333333
2021000934,11.0,0.0,11.0,0.0,1.0,1.0,0.0
2021000993,8.0,0.0,8.0,0.0,1.0,1.0,0.0
2021001001,7.0,0.0,7.0,0.0,2.0,1.0,0.0
2021001027,7.0,0.0,7.0,0.0,0.0,1.0,0.0
2021001043,5.0,0.0,3.0,2.0,1.0,0.6,0.0
2021001116,5.0,0.0,5.0,0.0,0.0,1.0,0.0
2021001141,6.0,0.0,6.0,0.0,4.0,1.0,0.0
2021001159,7.0,0.0,7.0,0.0,2.0,1.0,0.0
2021001183,11.0,0.0,10.0,1.0,1.0,0.9090909090909091,0.0
2021001191,6.0,0.0,5.0,1.0,1.0,0.8333333333333334,0.0
2021001230,13.0,0.0,13.0,0.0,2.0,1.0,0.0
2021001264,12.0,0.0,12.0,0.0,2.0,1.0,0.0
2021001272,11.0,0.0,11.0,0.0,5.0,1.0,0.0
2021001361,8.0,3.0,5.0,0.0,2.0,1.375,0.375
2021001388,8.0,4.0,4.0,0.0,2.0,1.5,0.5
2021001418,9.0,3.0,6.0,0.0,1.0,1.3333333333333333,0.3333333333333333
2021001451,11.0,0.0,11.0,0.0,3.0,1.0,0.0
2021001469,13.0,0.0,13.0,0.0,2.0,1.0,0.0
2021001477,13.0,8.0,5.0,0.0,1.0,1.6153846153846154,0.6153846153846154
2021001531,7.0,0.0,7.0,0.0,1.0,1.0,0.0
2021001558,13.0,9.0,4.0,0.0,1.0,1.6923076923076923,0.6923076923076923
2021001582,11.0,0.0,11.0,0.0,3.0,1.0,0.0
2021001621,9.0,4.0,5.0,0.0,1.0,1.4444444444444444,0.4444444444444444
2021001680,6.0,0.0,6.0,0.0,0.0,1.0,0.0
2021001744,8.0,1.0,7.0,0.0,1.0,1.125,0.125
2021001825,10.0,0.0,10.0,0.0,1.0,1.0,0.0
2021001884,8.0,7.0,1.0,0.0,1.0,1.875,0.875
2021001906,8.0,0.0,8.0,0.0,1.0,1.0,0.0
2021001957,11.0,0.0,11.0,0.0,2.0,1.0,0.0
2021001990,12.0,0.0,12.0,0.0,1.0,1.0,0.0
2021002082,9.0,0.0,9.0,0.0,1.0,1.0,0.0
2021002112,7.0,0.0,7.0,0.0,1.0,1.0,0.0
2021002163,9.0,0.0,9.0,0.0,0.0,1.0,0.0
2021002171,10.0,0.0,10.0,0.0,1.0,1.0,0.0
2021002236,9.0,1.0,8.0,0.0,1.0,1.1111111111111112,0.1111111111111111
2021002244,6.0,0.0,6.0,0.0,1.0,1.0,0.0
2021002261,8.0,0.0,8.0,0.0,1.0,1.0,0.0
2021002295,10.0,0.0,9.0,1.0,1.0,0.9,0.0
2021002392,9.0,1.0,7.0,1.0,1.0,1.0,0.1111111111111111
2021002414,9.0,0.0,9.0,0.0,1.0,1.0,0.0
2021002422,10.0,0.0,9.0,1.0,7.0,0.9,0.0
2021002431,6.0,0.0,6.0,0.0,1.0,1.0,0.0
2021002473,11.0,1.0,10.0,0.0,1.0,1.0909090909090908,0.09090909090909091
2021002554,10.0,0.0,10.0,0.0,3.0,1.0,0.0
2021002571,11.0,1.0,10.0,0.0,1.0,1.0909090909090908,0.09090909090909091
2021002601,5.0,0.0,5.0,0.0,0.0,1.0,0.0
2021002627,3.0,0.0,3.0,0.0,1.0,1.0,0.0
2021002759,8.0,0.0,6.0,2.0,1.0,0.75,0.0
2021002902,12.0,0.0,8.0,4.0,3.0,0.6666666666666666,0.0
