model,perturbation,group,n,MAS,CI_low,CI_high
BERT,P1_lexical_formality,Stylistic,15368,0.0492,0.0484,0.0501
BERT,P2_connective_density,Stylistic,15456,0.2428,0.2399,0.2457
BERT,P3_syntactic_voice,Stylistic,12224,0.1919,0.1879,0.196
BERT,P4_discourse_weakening,Discourse,1595,0.1371,0.1278,0.1464
BERT,P5_structural_disrupt,Discourse,3926,0.0915,0.0873,0.096
BERT,P6_length_extension,Counterfactual,15456,0.293,0.2899,0.296
Longformer,P1_lexical_formality,Stylistic,15368,0.0467,0.0458,0.0476
Longformer,P2_connective_density,Stylistic,15456,0.1995,0.1971,0.2018
Longformer,P3_syntactic_voice,Stylistic,12224,0.4658,0.4612,0.4705
Longformer,P4_discourse_weakening,Discourse,1595,0.1258,0.1191,0.1327
Longformer,P5_structural_disrupt,Discourse,3926,0.0931,0.0903,0.0959
Longformer,P6_length_extension,Counterfactual,15456,0.1706,0.1691,0.1721
